#Name		A_V	v_helio(km/s)	explosion	err	l_plat	s2      err s2	plateau	v_CMB err_v_cmb	
SN2008gi	0.181	7328	34	2454742.7	9 	80	3.13	0.08	20	7103	37	SCM	
SN2008gr	0.039	6831	41	2454769.6	6 	80	2.01	0.01	20	6549	46	SCM	
SN2008hg	0.050	5684	10	2454779.8	5 	80	-0.44	0.01	20	5449	19	SCM	
SN2008ho	0.052	3082	5	2454792.7	5 	80	0.30	0.06	20	2879	15	SCM	
SN2008if	0.09	3440	7	2454807.8	5 	75.9	2.10	0.02	49.8	3769	24	SCM	
SN2008il	0.045	6276	10	2454825.60	3 	80	0.93	0.05	20	6093	16	SCM	
SN2008in	0.061	1566	2	2454825.4	5 	92.2	0.83	0.02	67.2	1913	24	SCM	
SN2009N 	0.057	1036	2	2454846.8	5 	89.50	0.34	0.01	20	1386	25	SCM	
SN2009ao	0.106	3339	5	2454890.7	4 	41.71	-0.01	0.12	20	3665	23	SCM	
SN2009au	0.250	2819	8	2454897.5	4 	80	3.04	0.02	20	3127	23	SCM	
SN2009bu	0.070	3494	9	2454901.9	8 	80	0.18	0.04	20	3372	13	SCM	
SN2009bz	0.110	3231	7	2454915.8	4 	80	0.50	0.02	20	3393	13	No	
